repo,old_env,new_env,old_code,new_code
numpy/numpy,v1.24.2,v1.24.3,"['                         d1[k] = unmarkouterparen(d1[k])\n', '                     else:\n', '                         del d1[k]\n', '+\n', ""+                if 'len' in d1:\n"", ""+                    if typespec in ['complex', 'integer', 'logical', 'real']:\n"", ""+                        if ('kindselector' not in edecl) or (not edecl['kindselector']):\n"", ""+                            edecl['kindselector'] = {}\n"", ""+                        edecl['kindselector']['*'] = d1['len']\n"", ""+                        del d1['len']\n"", ""+                    elif typespec == 'character':\n"", ""+                        if ('charselector' not in edecl) or (not edecl['charselector']):\n"", ""+                            edecl['charselector'] = {}\n"", ""+                        if 'len' in edecl['charselector']:\n"", ""+                            del edecl['charselector']['len']\n"", ""+                        edecl['charselector']['*'] = d1['len']\n"", ""+                        del d1['len']\n"", '+\n', ""+                if 'init' in d1:\n"", ""+                    if '=' in edecl and (not edecl['='] == d1['init']):\n"", '+                        outmess(\'updatevars: attempt to change the init expression of ""%s"" (""%s"") to ""%s"". Ignoring.\\n\' % (\n', ""+                            ename, edecl['='], d1['init']))\n"", '+                    else:\n', ""+                        edecl['='] = d1['init']\n"", '+\n', ""                 if 'len' in d1 and 'array' in d1:\n"", ""                     if d1['len'] == '':\n"", ""                         d1['len'] = d1['array']\n""]","['                         d1[k] = unmarkouterparen(d1[k])\n', '                     else:\n', '                         del d1[k]\n', ""                 if 'len' in d1 and 'array' in d1:\n"", ""                     if d1['len'] == '':\n"", ""                         d1['len'] = d1['array']\n""]"
numpy/numpy,v1.24.2,v1.24.3,"[""                         del d1['len']\n"", '                         errmess(\'updatevars: ""%s %s"" is mapped to ""%s %s(%s)""\\n\' % (\n', ""                             typespec, e, typespec, ename, d1['array']))\n"", '+\n', ""                 if 'array' in d1:\n"", ""                     dm = 'dimension(%s)' % d1['array']\n"", ""                     if 'attrspec' not in edecl or (not edecl['attrspec']):\n""]","[""                         del d1['len']\n"", '                         errmess(\'updatevars: ""%s %s"" is mapped to ""%s %s(%s)""\\n\' % (\n', ""                             typespec, e, typespec, ename, d1['array']))\n"", ""                 if 'array' in d1:\n"", ""                     dm = 'dimension(%s)' % d1['array']\n"", ""                     if 'attrspec' not in edecl or (not edecl['attrspec']):\n""]"
numpy/numpy,v1.24.2,v1.24.3,"['                                         % (ename, dm1, dm))\n', '                                 break\n', ' \n', '             else:\n', '                 outmess(\'updatevars: could not crack entity declaration ""%s"". Ignoring.\\n\' % (\n', ""                     ename + m.group('after')))\n""]","['                                         % (ename, dm1, dm))\n', '                                 break\n', ' \n', ""-                if 'len' in d1:\n"", ""-                    if typespec in ['complex', 'integer', 'logical', 'real']:\n"", ""-                        if ('kindselector' not in edecl) or (not edecl['kindselector']):\n"", ""-                            edecl['kindselector'] = {}\n"", ""-                        edecl['kindselector']['*'] = d1['len']\n"", ""-                    elif typespec == 'character':\n"", ""-                        if ('charselector' not in edecl) or (not edecl['charselector']):\n"", ""-                            edecl['charselector'] = {}\n"", ""-                        if 'len' in edecl['charselector']:\n"", ""-                            del edecl['charselector']['len']\n"", ""-                        edecl['charselector']['*'] = d1['len']\n"", ""-                if 'init' in d1:\n"", ""-                    if '=' in edecl and (not edecl['='] == d1['init']):\n"", '-                        outmess(\'updatevars: attempt to change the init expression of ""%s"" (""%s"") to ""%s"". Ignoring.\\n\' % (\n', ""-                            ename, edecl['='], d1['init']))\n"", '-                    else:\n', ""-                        edecl['='] = d1['init']\n"", '             else:\n', '                 outmess(\'updatevars: could not crack entity declaration ""%s"". Ignoring.\\n\' % (\n', ""                     ename + m.group('after')))\n""]"
numpy/numpy,v1.24.2,v1.24.3,"['         assert_equal(len(a), 2)\n', ' \n', ""         assert_raises(Exception, lambda: f(b'c'))\n"", '+\n', '+\n', '+class TestStringScalarArr(util.F2PyTest):\n', '+    sources = [util.getpath(""tests"", ""src"", ""string"", ""scalar_string.f90"")]\n', '+\n', '+    @pytest.mark.slow\n', '+    def test_char(self):\n', '+        for out in (self.module.string_test.string,\n', '+                    self.module.string_test.string77):\n', '+            expected = ()\n', '+            assert out.shape == expected\n', ""+            expected = '|S8'\n"", '+            assert out.dtype == expected\n', '+\n', '+    @pytest.mark.slow\n', '+    def test_char_arr(self):\n', '+        for out in (self.module.string_test.strarr,\n', '+                    self.module.string_test.strarr77):\n', '+            expected = (5,7)\n', '+            assert out.shape == expected\n', ""+            expected = '|S12'\n"", '+            assert out.dtype == expected\n']","['         assert_equal(len(a), 2)\n', ' \n', ""         assert_raises(Exception, lambda: f(b'c'))\n""]"
numpy/numpy,v1.24.2,v1.24.3,"[' \n', ' \n', ' _loadtxt_with_like = array_function_dispatch(\n', '+    _loadtxt_dispatcher, use_like=True\n', ' )(loadtxt)\n', ' \n', ' \n']","[' \n', ' \n', ' _loadtxt_with_like = array_function_dispatch(\n', '-    _loadtxt_dispatcher\n', ' )(loadtxt)\n', ' \n', ' \n']"
numpy/numpy,v1.24.2,v1.24.3,"[' \n', ' \n', ' _genfromtxt_with_like = array_function_dispatch(\n', '+    _genfromtxt_dispatcher, use_like=True\n', ' )(genfromtxt)\n', ' \n', ' \n']","[' \n', ' \n', ' _genfromtxt_with_like = array_function_dispatch(\n', '-    _genfromtxt_dispatcher\n', ' )(genfromtxt)\n', ' \n', ' \n']"
numpy/numpy,v1.24.2,v1.24.3,"[""         assert_equal(a, l['file_a'])\n"", ""         assert_equal(b, l['file_b'])\n"", ' \n', '+    def test_named_arrays_with_like(self):\n', '+        a = np.array([[1, 2], [3, 4]], float)\n', '+        b = np.array([[1 + 2j, 2 + 7j], [3 - 6j, 4 + 12j]], complex)\n', '+        c = BytesIO()\n', '+        np.savez(c, file_a=a, like=b)\n', '+        c.seek(0)\n', '+        l = np.load(c)\n', ""+        assert_equal(a, l['file_a'])\n"", ""+        assert_equal(b, l['like'])\n"", '+\n', '     def test_BagObj(self):\n', '         a = np.array([[1, 2], [3, 4]], float)\n', '         b = np.array([[1 + 2j, 2 + 7j], [3 - 6j, 4 + 12j]], complex)\n']","[""         assert_equal(a, l['file_a'])\n"", ""         assert_equal(b, l['file_b'])\n"", ' \n', '     def test_BagObj(self):\n', '         a = np.array([[1, 2], [3, 4]], float)\n', '         b = np.array([[1 + 2j, 2 + 7j], [3 - 6j, 4 + 12j]], complex)\n']"
numpy/numpy,v1.24.2,v1.24.3,"[' \n', ' \n', ' _eye_with_like = array_function_dispatch(\n', '+    _eye_dispatcher, use_like=True\n', ' )(eye)\n', ' \n', ' \n']","[' \n', ' \n', ' _eye_with_like = array_function_dispatch(\n', '-    _eye_dispatcher\n', ' )(eye)\n', ' \n', ' \n']"
numpy/numpy,v1.24.2,v1.24.3,"[' \n', ' \n', ' _tri_with_like = array_function_dispatch(\n', '+    _tri_dispatcher, use_like=True\n', ' )(tri)\n', ' \n', ' \n']","[' \n', ' \n', ' _tri_with_like = array_function_dispatch(\n', '-    _tri_dispatcher\n', ' )(tri)\n', ' \n', ' \n']"
numpy/numpy,v1.24.2,v1.24.3,"['     >>> xcenters = (xedges[:-1] + xedges[1:]) / 2\n', '     >>> ycenters = (yedges[:-1] + yedges[1:]) / 2\n', '     >>> im.set_data(xcenters, ycenters, H)\n', '+    >>> ax.add_image(im)\n', '     >>> plt.show()\n', ' \n', '     It is also possible to construct a 2-D histogram without specifying bin\n']","['     >>> xcenters = (xedges[:-1] + xedges[1:]) / 2\n', '     >>> ycenters = (yedges[:-1] + yedges[1:]) / 2\n', '     >>> im.set_data(xcenters, ycenters, H)\n', '-    >>> ax.images.append(im)\n', '     >>> plt.show()\n', ' \n', '     It is also possible to construct a 2-D histogram without specifying bin\n']"
numpy/numpy,v1.24.2,v1.24.3,"[""                 # Note: Don't try to check for m.any(), that'll take too long\n"", '         return dout\n', ' \n', '+    # setitem may put NaNs into integer arrays or occasionally overflow a\n', '+    # float.  But this may happen in masked values, so avoid otherwise\n', '+    # correct warnings (as is typical also in masked calculations).\n', ""+    @np.errstate(over='ignore', invalid='ignore')\n"", '     def __setitem__(self, indx, value):\n', '         """"""\n', '         x.__setitem__(i, y) <==> x[i]=y\n']","[""                 # Note: Don't try to check for m.any(), that'll take too long\n"", '         return dout\n', ' \n', '     def __setitem__(self, indx, value):\n', '         """"""\n', '         x.__setitem__(i, y) <==> x[i]=y\n']"
numpy/numpy,v1.24.2,v1.24.3,"[""             otherwise.  'K' means to read the elements in the order they occur\n"", '             in memory, except for reversing the data when strides are negative.\n', ""             By default, 'C' index order is used.\n"", ""+            (Masked arrays currently use 'A' on the data when 'K' is passed.)\n"", ' \n', '         Returns\n', '         -------\n']","[""             otherwise.  'K' means to read the elements in the order they occur\n"", '             in memory, except for reversing the data when strides are negative.\n', ""             By default, 'C' index order is used.\n"", ' \n', '         Returns\n', '         -------\n']"
numpy/numpy,v1.24.2,v1.24.3,"['                fill_value=999999)\n', ' \n', '         """"""\n', ""+        # The order of _data and _mask could be different (it shouldn't be\n"", '+        # normally).  Passing order `K` or `A` would be incorrect.\n', '+        # So we ignore the mask memory order.\n', ""+        # TODO: We don't actually support K, so use A instead.  We could\n"", '+        #       try to guess this correct by sorting strides or deprecate.\n', '+        if order in ""kKaA"":\n', '+            order = ""C"" if self._data.flags.fnc else ""F""\n', '         r = ndarray.ravel(self._data, order=order).view(type(self))\n', '         r._update_from(self)\n', '         if self._mask is not nomask:\n']","['                fill_value=999999)\n', ' \n', '         """"""\n', '         r = ndarray.ravel(self._data, order=order).view(type(self))\n', '         r._update_from(self)\n', '         if self._mask is not nomask:\n']"
numpy/numpy,v1.24.2,v1.24.3,"['         assert_equal(s1, s2)\n', '         assert_(x1[1:1].shape == (0,))\n', ' \n', '+    def test_setitem_no_warning(self):\n', ""+        # Setitem shouldn't warn, because the assignment might be masked\n"", '+        # and warning for a masked assignment is weird (see gh-23000)\n', '+        # (When the value is masked, otherwise a warning would be acceptable\n', '+        # but is not given currently.)\n', '+        x = np.ma.arange(60).reshape((6, 10))\n', '+        index = (slice(1, 5, 2), [7, 5])\n', '+        value = np.ma.masked_all((2, 2))\n', '+        value._data[...] = np.inf  # not a valid integer...\n', '+        x[index] = value\n', ""+        # The masked scalar is special cased, but test anyway (it's NaN):\n"", '+        x[...] = np.ma.masked\n', '+        # Finally, a large value that cannot be cast to the float32 `x`\n', '+        x = np.ma.arange(3., dtype=np.float32)\n', '+        value = np.ma.array([2e234, 1, 1], mask=[True, False, False])\n', '+        x[...] = value\n', '+        x[[0, 1, 2]] = value\n', '+\n', '     @suppress_copy_mask_on_assignment\n', '     def test_copy(self):\n', '         # Tests of some subtle points of copying and sizing.\n']","['         assert_equal(s1, s2)\n', '         assert_(x1[1:1].shape == (0,))\n', ' \n', '     @suppress_copy_mask_on_assignment\n', '     def test_copy(self):\n', '         # Tests of some subtle points of copying and sizing.\n']"
numpy/numpy,v1.24.2,v1.24.3,"[""         assert_equal(a.ravel(order='C'), [1, 2, 3, 4])\n"", ""         assert_equal(a.ravel(order='F'), [1, 3, 2, 4])\n"", ' \n', '+    @pytest.mark.parametrize(""order"", ""AKCF"")\n', '+    @pytest.mark.parametrize(""data_order"", ""CF"")\n', '+    def test_ravel_order(self, order, data_order):\n', '+        # Ravelling must ravel mask and data in the same order always to avoid\n', '+        # misaligning the two in the ravel result.\n', '+        arr = np.ones((5, 10), order=data_order)\n', '+        arr[0, :] = 0\n', '+        mask = np.ones((10, 5), dtype=bool, order=data_order).T\n', '+        mask[0, :] = False\n', '+        x = array(arr, mask=mask)\n', '+        assert x._data.flags.fnc != x._mask.flags.fnc\n', '+        assert (x.filled(0) == 0).all()\n', '+        raveled = x.ravel(order)\n', '+        assert (raveled.filled(0) == 0).all()\n', '+\n', '+\n', '     def test_reshape(self):\n', '         # Tests reshape\n', '         x = arange(4)\n']","[""         assert_equal(a.ravel(order='C'), [1, 2, 3, 4])\n"", ""         assert_equal(a.ravel(order='F'), [1, 3, 2, 4])\n"", ' \n', '     def test_reshape(self):\n', '         # Tests reshape\n', '         x = arange(4)\n']"
numpy/numpy,v1.24.2,v1.24.3,"[' #-----------------------------------\n', ' \n', ' # Path to the release notes\n', ""+RELEASE_NOTES = 'doc/source/release/1.24.3-notes.rst'\n"", ' \n', ' \n', ' #-------------------------------------------------------\n']","[' #-----------------------------------\n', ' \n', ' # Path to the release notes\n', ""-RELEASE_NOTES = 'doc/source/release/1.24.2-notes.rst'\n"", ' \n', ' \n', ' #-------------------------------------------------------\n']"
numpy/numpy,v1.24.1,v1.24.2,"[' \n', ' # NOTE: Import `Sequence` from `typing` as we it is needed for a type-alias,\n', ' # not an annotation\n', '+import sys\n', ' from collections.abc import Collection, Callable\n', ' from typing import Any, Sequence, Protocol, Union, TypeVar, runtime_checkable\n', ' from numpy import (\n']","[' \n', ' # NOTE: Import `Sequence` from `typing` as we it is needed for a type-alias,\n', ' # not an annotation\n', ' from collections.abc import Collection, Callable\n', ' from typing import Any, Sequence, Protocol, Union, TypeVar, runtime_checkable\n', ' from numpy import (\n']"
numpy/numpy,v1.24.1,v1.24.2,"[' # is resolved. See also the mypy issue:\n', ' #\n', ' # https://github.com/python/typing/issues/593\n', '+if sys.version_info[:2] < (3, 9):\n', '+    ArrayLike = _DualArrayLike[\n', '+        dtype,\n', '+        Union[bool, int, float, complex, str, bytes],\n', '+    ]\n', '+else:\n', '+    ArrayLike = _DualArrayLike[\n', '+        dtype[Any],\n', '+        Union[bool, int, float, complex, str, bytes],\n', '+    ]\n', ' \n', ' # `ArrayLike<X>_co`: array-like objects that can be coerced into `X`\n', ' # given the casting rules `same_kind`\n']","[' # is resolved. See also the mypy issue:\n', ' #\n', ' # https://github.com/python/typing/issues/593\n', '-ArrayLike = _DualArrayLike[\n', '-    dtype,\n', '-    Union[bool, int, float, complex, str, bytes],\n', '-]\n', ' \n', ' # `ArrayLike<X>_co`: array-like objects that can be coerced into `X`\n', ' # given the casting rules `same_kind`\n']"
numpy/numpy,v1.24.1,v1.24.2,"['         assert len(self.out) == nout\n', '         self.astype = self.astype_dict.get(self.type, None)\n', ' \n', '+\n', '+def _check_order(types1, types2):\n', '+    dtype_order = allP + ""O""\n', '+    for t1, t2 in zip(types1, types2):\n', '+        # We have no opinion on object or time ordering for now:\n', '+        if t1 in ""OP"" or t2 in ""OP"":\n', '+            return True\n', '+        if t1 in ""mM"" or t2 in ""mM"":\n', '+            return True\n', '+\n', '+        t1i = dtype_order.index(t1)\n', '+        t2i = dtype_order.index(t2)\n', '+        if t1i < t2i:\n', '+            return\n', '+        if t2i > t1i:\n', '+            break\n', '+\n', '+    raise TypeError(\n', '+            f""Input dtypes are unsorted or duplicate: {types1} and {types2}"")\n', '+\n', '+\n', '+def check_td_order(tds):\n', '+    # A quick check for whether the signatures make sense, it happened too\n', '+    # often that SIMD additions added loops that do not even make some sense.\n', '+    # TODO: This should likely be a test and it would be nice if it rejected\n', '+    #       duplicate entries as well (but we have many as of writing this).\n', '+    signatures = [t.in_+t.out for t in tds]\n', '+\n', '+    for prev_i, sign in enumerate(signatures[1:]):\n', '+        if sign in signatures[:prev_i+1]:\n', '+            continue  # allow duplicates...\n', '+        \n', '+        _check_order(signatures[prev_i], sign)\n', '+\n', '+\n', ' _fdata_map = dict(\n', ""     e='npy_%sf',\n"", ""     f='npy_%sf',\n""]","['         assert len(self.out) == nout\n', '         self.astype = self.astype_dict.get(self.type, None)\n', ' \n', ' _fdata_map = dict(\n', ""     e='npy_%sf',\n"", ""     f='npy_%sf',\n""]"
numpy/numpy,v1.24.1,v1.24.2,"['         for td in self.type_descriptions:\n', '             td.finish_signature(self.nin, self.nout)\n', ' \n', '+        check_td_order(self.type_descriptions)\n', '+\n', '+\n', ' # String-handling utilities to avoid locale-dependence.\n', ' \n', ' import string\n']","['         for td in self.type_descriptions:\n', '             td.finish_signature(self.nin, self.nout)\n', ' \n', ' # String-handling utilities to avoid locale-dependence.\n', ' \n', ' import string\n']"
numpy/numpy,v1.24.1,v1.24.2,"['     Ufunc(1, 1, None,\n', ""           docstrings.get('numpy.core.umath.cos'),\n"", '           None,\n', ""+          TD('e', dispatch=[('loops_umath_fp', 'e')]),\n"", ""           TD('f', dispatch=[('loops_trigonometric', 'f')]),\n"", ""+          TD('d', dispatch=[('loops_umath_fp', 'd')]),\n"", ""+          TD('g' + cmplx, f='cos'),\n"", ""           TD(P, f='cos'),\n"", '           ),\n', "" 'sin':\n"", '     Ufunc(1, 1, None,\n', ""           docstrings.get('numpy.core.umath.sin'),\n"", '           None,\n', ""+          TD('e', dispatch=[('loops_umath_fp', 'e')]),\n"", ""           TD('f', dispatch=[('loops_trigonometric', 'f')]),\n"", ""+          TD('d', dispatch=[('loops_umath_fp', 'd')]),\n"", ""+          TD('g' + cmplx, f='sin'),\n"", ""           TD(P, f='sin'),\n"", '           ),\n', "" 'tan':\n""]","['     Ufunc(1, 1, None,\n', ""           docstrings.get('numpy.core.umath.cos'),\n"", '           None,\n', ""           TD('f', dispatch=[('loops_trigonometric', 'f')]),\n"", ""-          TD('ed', dispatch=[('loops_umath_fp', 'ed')]),\n"", ""-          TD('fdg' + cmplx, f='cos'),\n"", ""           TD(P, f='cos'),\n"", '           ),\n', "" 'sin':\n"", '     Ufunc(1, 1, None,\n', ""           docstrings.get('numpy.core.umath.sin'),\n"", '           None,\n', ""           TD('f', dispatch=[('loops_trigonometric', 'f')]),\n"", ""-          TD('ed', dispatch=[('loops_umath_fp', 'ed')]),\n"", ""-          TD('fdg' + cmplx, f='sin'),\n"", ""           TD(P, f='sin'),\n"", '           ),\n', "" 'tan':\n""]"
numpy/numpy,v1.24.1,v1.24.2,"['     Ufunc(2, 1, None,\n', ""           docstrings.get('numpy.core.umath.arctan2'),\n"", '           None,\n', ""+          TD('e', f='atan2', astype={'e': 'f'}),\n"", ""           TD('fd', dispatch=[('loops_umath_fp', 'fd')]),\n"", ""+          TD('g', f='atan2', astype={'e': 'f'}),\n"", ""           TD(P, f='arctan2'),\n"", '           ),\n', "" 'remainder':\n""]","['     Ufunc(2, 1, None,\n', ""           docstrings.get('numpy.core.umath.arctan2'),\n"", '           None,\n', ""           TD('fd', dispatch=[('loops_umath_fp', 'fd')]),\n"", ""-          TD(flts, f='atan2', astype={'e': 'f'}),\n"", ""           TD(P, f='arctan2'),\n"", '           ),\n', "" 'remainder':\n""]"
numpy/numpy,v1.24.1,v1.24.2,"['     # Unfortunately, they are currently still valid via `np.dtype()`\n', '     np.dtype(name)\n', '     name in np.sctypeDict\n', '+\n', '+\n', '+# Ignore the above future attribute warning for this test.\n', '+@pytest.mark.filterwarnings(""ignore:In the future:FutureWarning"")\n', '+class TestRemovedGlobals:\n', '+    # Removed 2023-01-12, NumPy 1.24.0\n', '+    # Not a deprecation, but the large error was added to aid those who missed\n', '+    # the previous deprecation, and should be removed similarly to one\n', '+    # (or faster).\n', '+    @pytest.mark.parametrize(""name"",\n', '+            [""object"", ""bool"", ""float"", ""complex"", ""str"", ""int""])\n', '+    def test_attributeerror_includes_info(self, name):\n', '+        msg = f"".*\\n`np.{name}` was a deprecated alias for the builtin""\n', '+        with pytest.raises(AttributeError, match=msg):\n', '+            getattr(np, name)\n']","['     # Unfortunately, they are currently still valid via `np.dtype()`\n', '     np.dtype(name)\n', '     name in np.sctypeDict\n']"
numpy/numpy,v1.24.1,v1.24.2,"[""         assert_array_equal(x['a'], [3.5, 3.5])\n"", ""         assert_array_equal(x['b'], [-2, -2])\n"", ' \n', '+    def test_fill_readonly(self):\n', '+        # gh-22922\n', '+        a = np.zeros(11)\n', '+        a.setflags(write=False)\n', '+        with pytest.raises(ValueError, match="".*read-only""):\n', '+            a.fill(0)\n', '+\n', ' \n', ' class TestArrayConstruction:\n', '     def test_array(self):\n']","[""         assert_array_equal(x['a'], [3.5, 3.5])\n"", ""         assert_array_equal(x['b'], [-2, -2])\n"", ' \n', ' \n', ' class TestArrayConstruction:\n', '     def test_array(self):\n']"
numpy/numpy,v1.24.1,v1.24.2,"['             np.add(1, 1)\n', ' \n', ' \n', '+def check_ufunc_scalar_equivalence(op, arr1, arr2):\n', '     scalar1 = arr1[()]\n', '     scalar2 = arr2[()]\n', '     assert isinstance(scalar1, np.generic)\n']","['             np.add(1, 1)\n', ' \n', ' \n', '-@pytest.mark.slow\n', '-@settings(max_examples=10000, deadline=2000)\n', '-@given(sampled_from(reasonable_operators_for_scalars),\n', '-       hynp.arrays(dtype=hynp.scalar_dtypes(), shape=()),\n', '-       hynp.arrays(dtype=hynp.scalar_dtypes(), shape=()))\n', '-def test_array_scalar_ufunc_equivalence(op, arr1, arr2):\n', '-    """"""\n', '-    This is a thorough test attempting to cover important promotion paths\n', '-    and ensuring that arrays and scalars stay as aligned as possible.\n', '-    However, if it creates troubles, it should maybe just be removed.\n', '-    """"""\n', '     scalar1 = arr1[()]\n', '     scalar2 = arr2[()]\n', '     assert isinstance(scalar1, np.generic)\n']"
numpy/numpy,v1.24.1,v1.24.2,"['         comp_ops = {operator.ge, operator.gt, operator.le, operator.lt}\n', '         if op in comp_ops and (np.isnan(scalar1) or np.isnan(scalar2)):\n', '             pytest.xfail(""complex comp ufuncs use sort-order, scalars do not."")\n', '+    if op == operator.pow and arr2.item() in [-1, 0, 0.5, 1, 2]:\n', '+        # array**scalar special case can have different result dtype\n', '+        # (Other powers may have issues also, but are not hit here.)\n', '+        # TODO: It would be nice to resolve this issue.\n', '+        pytest.skip(""array**2 can have incorrect/weird result dtype"")\n', ' \n', ""     # ignore fpe's since they may just mismatch for integers anyway.\n"", '     with warnings.catch_warnings(), np.errstate(all=""ignore""):\n']","['         comp_ops = {operator.ge, operator.gt, operator.le, operator.lt}\n', '         if op in comp_ops and (np.isnan(scalar1) or np.isnan(scalar2)):\n', '             pytest.xfail(""complex comp ufuncs use sort-order, scalars do not."")\n', ' \n', ""     # ignore fpe's since they may just mismatch for integers anyway.\n"", '     with warnings.catch_warnings(), np.errstate(all=""ignore""):\n']"
